id,recipe_name,Category,url,prep_time,cuisine_path,cook_time,total_time,servings,yield,ingredients,directions,rating,nutrition,timing,img_src
1,Apple Pie by Grandma Ople,vegetarian,https://www.allrecipes.com/recipe/12682/apple-pie-by-grandma-ople/,30 mins,/Desserts/Pies/Apple Pie Recipes/,1 hrs,1 hrs 30 mins,8,1 9-inch pie,"8 small Granny Smith apples, or as needed, ½ cup unsalted butter, 3 tablespoons all-purpose flour, ½ cup white sugar, ½ cup packed brown sugar, ¼ cup water, 1 (9 inch) double-crust pie pastry, thawed","Peel and core apples, then thinly slice. Set aside.
Preheat the oven to 425 degrees F (220 degrees C).
Melt butter in a saucepan over medium heat. Add flour and stir to form a paste; cook until fragrant, about 1 to 2 minutes. Add both sugars and water; bring to a boil. Reduce the heat to low and simmer for 3 to 5 minutes. Remove from the heat.
Press one pastry into the bottom and up the sides of a 9-inch pie pan. Roll out remaining pastry so it will overhang the pie by about 1/2 inch. Cut pastry into eight 1-inch strips.
Place sliced apples into the bottom crust, forming a slight mound. Lay four pastry strips vertically and evenly spaced over apples, using longer strips in the center and shorter strips at the edges.
Make a lattice crust: Fold the first and third strips all the way back so they're almost falling off the pie. Lay one of the unused strips perpendicularly over the second and fourth strips, then unfold the first and third strips back into their original position.
Fold the second and fourth vertical strips back. Lay one of the three unused strips perpendicularly over top. Unfold the second and fourth strips back into their original position.
Repeat Steps 6 and 7 to weave in the last two strips of pastry. Fold and trim excess dough at the edges as necessary, and pinch to secure.
Slowly and gently pour sugar-butter mixture over lattice crust, making sure it seeps over sliced apples. Brush some onto lattice, but make sure it doesn't run off the sides.
Bake in the preheated oven for 15 minutes. Reduce the temperature to 350 degrees F (175 degrees C) and continue baking until apples are soft, 35 to 45 minutes.











Natalie T
",4.8,"Total Fat 19g 24%, Saturated Fat 9g 46%, Cholesterol 31mg 10%, Sodium 124mg 5%, Total Carbohydrate 52g 19%, Dietary Fiber 3g 10%, Protein 2g, Vitamin C 5mg 27%, Calcium 23mg 2%, Iron 1mg 6%, Potassium 156mg 3%","Prep Time: 30 mins, Cook Time: 1 hrs, Total Time: 1 hrs 30 mins, Servings: 8, Yield: 1 9-inch pie",https://www.allrecipes.com/thmb/1I95oiTGz6aEpuHd2DAr33w7Mgg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12682-apple-pie-by-grandma-ople-natasha-titanov-1x1-1-7f1cd9f631d24ff0b90cac0163247686.jpg
2,"Awesome Sausage, Apple and Cranberry Stuffing",meat,https://www.allrecipes.com/recipe/13651/awesome-sausage-apple-and-cranberry-stuffing/,15 mins,/Side Dish/Stuffing and Dressing Recipes/Sausage Stuffing and Dressing Recipes/,15 mins,1 hrs 30 mins,10,,"3 ¾ cups cubed white bread, 1 ½ cups cubed whole wheat bread, 1 pound ground turkey sausage, 1 cup chopped onion, ¾ cup chopped celery, 2 ½ teaspoons dried sage, 1 ½ teaspoons dried rosemary, ½ teaspoon dried thyme, 1  Golden Delicious apple, cored and chopped, ¾ cup dried cranberries, ⅓ cup minced fresh parsley, 1  cooked turkey liver, finely chopped, ¾ cup turkey stock, 4 tablespoons unsalted butter, melted","Preheat the oven to 350 degrees F (175 degrees C).
Spread white and whole wheat bread cubes in a single layer on a large baking sheet.
Bake in the preheated oven until evenly toasted, 5 to 7 minutes. Transfer toasted bread cubes to a large bowl.
Cook sausage and onions in a large skillet over medium heat, stirring and breaking up lumps, until evenly browned, 6 to 8 minutes. Add celery, sage, rosemary, and thyme; cook and stir until flavors blend, about 2 minutes.
Pour sausage mixture over bread in bowl. Mix in chopped apple, dried cranberries, parsley, and liver. Drizzle with turkey stock and melted butter; mix lightly.
Allow stuffing to cool completely before loosely stuffing a turkey.











Dotdash Meredith Food Studios
",4.8,"Total Fat 12g 15%, Saturated Fat 5g 25%, Cholesterol 80mg 27%, Sodium 548mg 24%, Total Carbohydrate 22g 8%, Dietary Fiber 2g 8%, Total Sugars 9g, Protein 13g, Vitamin C 9mg 44%, Calcium 47mg 4%, Iron 3mg 17%, Potassium 268mg 6%","Prep Time: 15 mins, Cook Time: 15 mins, Additional Time: 1 hrs, Total Time: 1 hrs 30 mins, Servings: 10",https://www.allrecipes.com/thmb/A16n6yykk6y6ofEi8akwV-6V9Ck=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1x1-PASSANO_ALR0922_Faves_Stuffing_5279-7495521ab45c4b8880373657bedc0db5.jpg
3,Amazing Apple Butter,vegetarian,https://www.allrecipes.com/recipe/229892/amazing-apple-butter/,10 mins,/Side Dish/Sauces and Condiments/Canning and Preserving Recipes/Fruit Butter Recipes/,10 hrs 25 mins,10 hrs 40 mins,48,6 cups,"10 pounds apples, quartered, 4 cups unsweetened apple juice, 1 cup white sugar, 1 tablespoon apple cider vinegar, 1 ½ teaspoons ground cinnamon, ½ teaspoon ground cloves, ½ teaspoon ground allspice, 6  half-pint canning jars with lids and rings","Combine apples and apple juice in a stockpot; bring to a boil. Reduce heat and cook at a simmer until apples are soft and mushy, 20 to 30 minutes.
Spoon apples into a food mill and process into puree while discarding the cores and peels remaining in the mill. Transfer process apples to a slow cooker.
Cook on High with the lid off until the moisture evaporates and the volume reduces by about half, overnight to 24 hours.
Stir sugar, apple cider vinegar, cinnamon, cloves, and allspice through the apple puree.
Continue cooking on High until mixture mounds on a chilled plate without any water separating from the edges, another 2 to 6 hours.
Sterilize the jars and lids in boiling water for at least 5 minutes. Pack the apple butter into the hot, sterilized jars, filling the jars to within 1/4 inch of the top. Run a knife or a thin spatula around the insides of the jars after they have been filled to remove any air bubbles. Wipe the rims of the jars with a moist paper towel to remove any food residue. Top with lids, and screw on rings.
Place a rack in the bottom of a large stockpot and fill halfway with water. Bring to a boil and lower jars into the boiling water using a holder. Leave a 2-inch space between the jars. Pour in more boiling water if necessary to bring the water level to at least 1 inch above the tops of the jars. Bring the water to a rolling boil, cover the pot, and process 5 to 10 minutes.
Remove the jars from the stockpot and place onto a cloth-covered or wood surface, several inches apart, until cool. Once cool, press the top of each lid with a finger, ensuring that the seal is tight (lid does not move up or down at all). Store in a cool, dark area.",4.9,"Total Fat 0g 0%, Sodium 2mg 0%, Total Carbohydrate 20g 7%, Dietary Fiber 2g 8%, Total Sugars 16g, Protein 0g, Vitamin C 5mg 23%, Calcium 8mg 1%, Iron 0mg 1%, Potassium 127mg 3%","Prep Time: 10 mins, Cook Time: 10 hrs 25 mins, Additional Time: 5 mins, Total Time: 10 hrs 40 mins, Servings: 48, Yield: 6 cups",https://www.allrecipes.com/thmb/x6vOON48-nGa1EFyDtv3yP_-yNE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4097964-91fe5b73052648c7a2dad2ee8283ad23.jpg
4,Easy Morning Glory Muffins,vegetarian,https://www.allrecipes.com/recipe/20995/easy-morning-glory-muffins/,25 mins,/Bread/Quick Bread Recipes/Muffin Recipes/Carrot Muffin Recipes/,20 mins,45 mins,12,,"2 cups all-purpose flour, 1 ¼ cups white sugar, 2 teaspoons baking soda, 2 teaspoons ground cinnamon, ¼ teaspoon salt, 2 cups shredded carrots, 1  apple - peeled, cored and shredded, ½ cup raisins, ½ cup chopped walnuts, ½ cup unsweetened flaked coconut, 3 large eggs, 1 cup vegetable oil, 2 teaspoons vanilla extract","Preheat the oven to 350 degrees F (175 degrees C). Grease a 12-cup muffin tin or line cups with paper liners.
Mix flour, sugar, baking soda, cinnamon, and salt together in a large bowl; stir in carrots, apple, raisins, walnuts, and coconut.
Beat eggs, oil, and vanilla together in a separate bowl. Stir egg mixture into the carrot mixture until just moistened. Spoon batter into the prepared muffin cups, filling each 2/3 full.
Bake in the preheated oven until tops spring back when lightly pressed, about 20 minutes. Cool in the tin for 5 minutes. Transfer to a wire rack to cool completely.",4.8,"Total Fat 25g 33%, Saturated Fat 6g 29%, Cholesterol 47mg 16%, Sodium 289mg 13%, Total Carbohydrate 45g 16%, Dietary Fiber 3g 10%, Total Sugars 23g, Protein 5g, Vitamin C 1mg 7%, Calcium 27mg 2%, Iron 2mg 9%, Potassium 159mg 3%","Prep Time: 25 mins, Cook Time: 20 mins, Total Time: 45 mins, Servings: 12",https://www.allrecipes.com/thmb/FwwS6cFUQCov817i1P6ULNaqUbs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8185645-easy-morning-glory-muffins-Eileen-Herrera-4x3-1-1a4cbaaff0b746419b160b7492c8941c.jpg
5,Grandma's Iron Skillet Apple Pie,vegetarian,https://www.allrecipes.com/recipe/213569/grandmas-iron-skillet-apple-pie/,15 mins,/Desserts/Pies/Apple Pie Recipes/,45 mins,1 hrs 15 mins,8,1 9-inch pie,"½ cup butter, 1 cup brown sugar, 5  Granny Smith apples -- peeled, cored, quartered, and thinly sliced, 3 (9 inch) refrigerated prerolled pie crusts, 1 cup white sugar, divided, 2 teaspoons ground cinnamon, divided, ¼ cup white sugar, 1 tablespoon butter, cut into small chunks","Preheat the oven to 350 degrees F (175 degrees C).
Place 1/2 cup butter into a 9-inch cast iron skillet; place the skillet in the preheated oven until butter is melted. Remove the skillet and sprinkle with brown sugar; return to the oven to heat while you prepare the apples.
Remove the skillet from the oven; arrange 1 refrigerated pie crust on top of brown sugar. Top pie crust with 1/2 of the sliced apples. Sprinkle 1/2 cup of white sugar and 1 teaspoon of cinnamon on top. Place second pie crust over apples; top second crust with remaining apples and sprinkle with 1/2 cup sugar and 1 teaspoon cinnamon. Top with third crust; sprinkle with 1/4 cup sugar and dot with 1 tablespoon of butter. Cut 4 slits into the top crust for steam to escape.
Bake in the preheated oven until the apples are tender and the crust is golden brown, about 45 minutes. Serve warm.









",4.9,"Total Fat 34g 43%, Saturated Fat 17g 86%, Cholesterol 49mg 16%, Sodium 396mg 17%, Total Carbohydrate 108g 39%, Dietary Fiber 2g 7%, Total Sugars 70g, Protein 3g, Vitamin C 4mg 22%, Calcium 37mg 3%, Iron 0mg 2%, Potassium 138mg 3%","Prep Time: 15 mins, Cook Time: 45 mins, Additional Time: 15 mins, Total Time: 1 hrs 15 mins, Servings: 8, Yield: 1 9-inch pie",https://www.allrecipes.com/thmb/vOa8FKl2mfm4RQgHLV-G3ovp7z0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4573341-542f23f8e42646af8b391b3babc73f3c.jpg
6,Best Boiled Fruitcake,vegetarian,https://www.allrecipes.com/recipe/7870/best-boiled-fruitcake/,15 mins,/Desserts/Fruit Desserts/Cherry Dessert Recipes/,2 hrs 20 mins,2 hrs 40 mins,10,1 8-inch cake,"1 ½ cups white sugar, 12 ounces candied mixed fruit, 1 cup milk, ¾ cup butter, 5 ounces glace cherries, roughly chopped, 2 ounces candied mixed citrus peel, 2 ounces chopped walnuts, 1 teaspoon ground allspice, ½ teaspoon baking soda, 12 ounces sifted self-rising flour, 2 large eggs","Preheat the oven to 325 degrees F (160 degrees C). Line an 8-inch deep cake pan with parchment paper.
Place sugar, candied mixed fruit, milk, butter, cherries, citrus peel, walnuts, allspice, and baking soda in a medium-sized saucepan. Bring to a boil, reduce heat, and simmer for 5 minutes. Remove from heat and allow to cool slightly.
Stir flour and eggs into fruit mixture. Pour batter into the prepared pan. Wrap the outside of the pan with brown paper or newspaper.
Bake cake in the preheated oven for 40 minutes. Reduce temperature to 300 degrees F (150 degrees C) and continue baking cake for 1 1/2 hours.
Let cake sit at room temperature for 5 minutes, then invert it onto a wired rack. Remove parchment paper, flip cake, and allow to cool completely on the rack. Cake may be stored wrapped in foil and in an airtight container for up to 6 months.",4.8,"Total Fat 19g 25%, Saturated Fat 10g 49%, Cholesterol 76mg 25%, Sodium 621mg 27%, Total Carbohydrate 99g 36%, Dietary Fiber 2g 5%, Total Sugars 38g, Protein 7g, Vitamin C 0mg 1%, Calcium 159mg 12%, Iron 2mg 13%, Potassium 130mg 3%","Prep Time: 15 mins, Cook Time: 2 hrs 20 mins, Additional Time: 5 mins, Total Time: 2 hrs 40 mins, Servings: 10, Yield: 1 8-inch cake",https://www.allrecipes.com/thmb/TnpiNhLlwmx4iK0gpSUanp_Yu0w=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/27222-c1a897f785ca4f15a398b9b9af43407a.jpg
7,Pineapple Upside-Down Bundt Cake,vegetarian,https://www.allrecipes.com/recipe/272616/pineapple-upside-down-bundt-cake/,30 mins,/Desserts/Fruit Desserts/Cherry Dessert Recipes/,35 mins,1 hrs 15 mins,12,1 10-inch bundt cake,"  cooking spray with flour, ½ cup melted butter, ½ cup packed brown sugar, 1 (8 ounce) can pineapple rings, 1 (4 ounce) jar maraschino cherries, 1 (15.25 ounce) package yellow cake mix, 1 (3.5 ounce) package instant vanilla pudding mix, ¼ cup whole milk, or more as needed, ⅓ cup vegetable oil, 3 large eggs","Preheat the oven to 350 degrees F (175 degrees C). Grease a 10-inch fluted tube pan (such as Bundt) with cooking spray with flour.
Pour melted butter into the bottom of the prepared pan. Sprinkle brown sugar evenly on top. Drain pineapple rings over a measuring cup; reserve juice. Cut rings in half. Alternate placing halved pineapple rings and maraschino cherries around the pan. Set aside.
Combine cake mix and pudding mix in a large mixing bowl. Pour enough milk into the reserved pineapple juice to make 1 cup of liquid; add to cake and pudding mixture. Pour in vegetable oil. Mix on low speed, adding 1 egg at a time, until blended. Increase speed to medium; mix until thoroughly combined and smooth, about 2 minutes. Pour batter over pineapples and cherries in the pan.
Bake in the preheated oven until a toothpick inserted into the center comes out clean, 35 to 40 minutes. Let cool for 10 minutes before removing from the pan.",4.9,"Total Fat 20g 26%, Saturated Fat 7g 34%, Cholesterol 63mg 21%, Sodium 477mg 21%, Total Carbohydrate 57g 21%, Dietary Fiber 1g 3%, Total Sugars 37g, Protein 4g, Vitamin C 2mg 10%, Calcium 82mg 6%, Iron 1mg 6%, Potassium 85mg 2%","Prep Time: 30 mins, Cook Time: 35 mins, Additional Time: 10 mins, Total Time: 1 hrs 15 mins, Servings: 12, Yield: 1 10-inch bundt cake",https://www.allrecipes.com/thmb/srekPtZAvSl0NfhyhARMaXbXALk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Pineapple-Upside-Down-Bundt-Cake-2000-ece59af0172b423182e18f5ce21a0b27.jpeg
8,Old Time Mincemeat Pie,meat,https://www.allrecipes.com/recipe/22621/old-time-mincemeat-pie/,45 mins,/Desserts/Pies/Fruit Pies/Mincemeat Pie Recipes/,40 mins,7 days 1 hrs 25 mins,8,1 9-inch pie,"1 ¼ pounds round steak, cut into small pieces, 1 cup apple cider, 4  Granny Smith apples - peeled, cored and finely diced, 1 ⅓ cups white sugar, 2 ½ cups dried currants, 2 ½ cups raisins, ½ pound chopped candied mixed fruit peel, ½ cup butter, 1 (16 ounce) jar sour cherry preserves, 1 teaspoon ground ginger, ½ teaspoon ground cloves, ½ teaspoon ground nutmeg, ½ teaspoon ground cinnamon, ½ teaspoon salt, 1 (16 ounce) can pitted sour cherries, drained with liquid reserved, 1 recipe pastry for a 9 inch double crust pie, 2 tablespoons heavy cream","In a Dutch oven, combine beef and apple cider. Bring to a boil, then reduce heat to a simmer. Cover and cook for about 20 minutes, or until meat is tender. Remove meat and coarsely chop, then return it to the pot.
Stir in chopped apples, sugar, currants, raisins, citrus peel, butter and cherry preserves. Add ginger, cloves, nutmeg, cinnamon and salt. Let simmer, uncovered, over low heat until mixture is very thick, about 90 minutes. Stir in cherries and remove from heat.
Refrigerate tightly covered for at least a week before using.
Preheat oven to 350 degrees F (175 degrees C). Put filling in unbaked pie shell and place pastry on top. Crimp edges and poke several holes in top pastry. Brush top with cream and sprinkle with sugar.
Bake in preheated oven for 40 minutes, or until golden brown.",4.9,"Total Fat 38g 48%, Saturated Fat 16g 78%, Cholesterol 80mg 27%, Sodium 521mg 23%, Total Carbohydrate 181g 66%, Dietary Fiber 9g 32%, Total Sugars 82g, Protein 21g, Vitamin C 33mg 164%, Calcium 78mg 6%, Iron 6mg 31%, Potassium 970mg 21%","Prep Time: 45 mins, Cook Time: 40 mins, Additional Time: 7 days, Total Time: 7 days 1 hrs 25 mins, Servings: 8, Yield: 1 9-inch pie",https://www.allrecipes.com/thmb/WC5I8urzl1AkqPsGenIe_unOSN8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7524631-44359c76070741c2acf6cb757ab6fd2f.jpg
9,Door County Cherry Bounce,vegan,https://www.allrecipes.com/recipe/244754/door-county-cherry-bounce/,10 mins,/Drinks Recipes/Liqueur Recipes/,,19 days 17 hrs 12 mins,10,1 quart,"2 cups pitted tart cherries (such as Door County cherries), ⅓ cup white sugar, or to taste, 1 cup vodka, or as needed","Put cherries in a clean, 1-quart glass jar; add sugar. Fill the rest of the jar with vodka. Place lid on jar and shake.
Store jar in a cool, dark area for 1 to 4 months, shaking jar occasionally.",5,"Total Fat 0g 0%, Saturated Fat 0g 1%, Sodium 0mg 0%, Total Carbohydrate 12g 4%, Dietary Fiber 1g 3%, Total Sugars 11g, Protein 0g, Vitamin C 2mg 10%, Calcium 4mg 0%, Iron 0mg 1%, Potassium 65mg 1%","Prep Time: 10 mins, Additional Time: 19 days 17 hrs 2 mins, Total Time: 19 days 17 hrs 12 mins, Servings: 10, Yield: 1 quart",https://www.allrecipes.com/thmb/gdkJ7fo8aPiikqV18MsgTNtsOTY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4542741-door-county-cherry-bounce-Leslie-Kelly-4x3-1-174a9e4fc7b64d8087c3d09f649ebedb.jpg
10,English Trifle,vegetarian,https://www.allrecipes.com/recipe/8445/english-trifle/,,/Cuisine/European/UK and Ireland/English/,,,14,1 bowl,"2 (8 or 9 inch) white cake layers, baked and cooled, 2 pints fresh strawberries, ¼ cup white sugar, 1 pint fresh blueberries, 2  bananas, ¼ cup orange juice, 1 (3.5 ounce) package instant vanilla pudding mix, 2 cups milk, 1 cup heavy whipping cream, ¼ cup blanched slivered almonds, 12  maraschino cherries","Slice strawberries and sprinkle them with sugar. Cut the bananas into slices and toss with orange juice. Combine pudding mix with milk and mix until smooth. Cut the cake into 1 inch cubes.
Use half of the cake cubes to line the bottom of a large glass bowl. Layer half of the strawberries followed by half of the blueberries, and then half of the bananas. Spread half of the pudding over the fruit. Repeat layers in the same order.
In a medium bowl, whip the cream to stiff peaks and spread over top of trifle. Garnish with maraschino cherries and slivered almonds.









",4.8,"Total Fat 24g 31%, Saturated Fat 9g 43%, Cholesterol 29mg 10%, Sodium 537mg 23%, Total Carbohydrate 98g 36%, Dietary Fiber 3g 12%, Total Sugars 63g, Protein 10g, Vitamin C 36mg 182%, Calcium 234mg 18%, Iron 2mg 13%, Potassium 371mg 8%","Servings: 14, Yield: 1 bowl",https://www.allrecipes.com/thmb/7pjri3tdMNkyvhsuksLJ8CAaC90=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3708740-b8fb8a231a784c44be2feea95d42eafd.jpg
